date,iaq,electrosmog_lf,wifi_level,wifi_n,temperature,humidity,air_pressure,ambient_light,tvoc,co2,co2e,pm10,pm25,sound,electrosmog_hf,device_id,ext_temperature,ext_humidity,ext_wind,ext_pressure,ext_weather
2020-01-29,35.11333333,162,-64.6,6.333333333,21.39333333,46.3,1011.66,381.0533333,16.46666667,535.3333333,510,16.8,15.8,53.25333333,0.286666667,219,11,82,8,1014,pioggia 
2020-01-31,133.3612121,183.5151515,-32.6969697,22.52121212,25.26909091,37.95272727,1020.461212,200.7357576,11.44848485,563.4181818,478.4484848,19.44848485,18.25454545,52.44969697,1.469090909,219,12,75,8,1021,sole
2020-02-01,71.59553265,172.5360825,-31.03780069,24.28522337,25.19553265,41.26254296,1020.07354,186.5639175,12.63917526,466.4020619,486.467354,21.10996564,20.03780069,48.32474227,1.427835052,219,12,86,6,1021,sole
2020-02-02,73.60275862,174.1896552,-31.14482759,23.9137931,25.11413793,43.22965517,1020.692759,187.672069,6.620689655,427.2827586,446.3206897,13.16896552,12.16896552,46.87965517,1.406206897,219,13,81,7,1022,sole
2020-02-03,125.5786207,174.3448276,-32.55862069,22.65862069,25.90275862,40.90482759,1018.382414,207.7265517,16.1137931,513.3275862,508.8689655,13.55517241,12.55517241,50.20724138,1.514827586,219,13,81,7,1019,sole
2020-02-04,63.99482759,177.1724138,-33.50689655,21.68275862,25.61551724,37.34896552,1008.863448,209.1134483,46.60689655,478.4793103,709.1551724,13.63793103,12.63103448,50.18517241,1.472758621,219,12,77,15,1011,pioggia 
2020-02-05,152.9744828,170.5758621,-32.56206897,21.21724138,23.12,20.02551724,1013.211379,215.5844828,58.9,451.0827586,789.8724138,9.362068966,8.362068966,51.24793103,1.497241379,219,8,43,26,1014,sole
2020-02-06,65.94423077,172.5961538,-32.17692308,21.5,23.28346154,15.22307692,1021.936154,214.9857692,85.59615385,468.7,965.0615385,9.996153846,8.996153846,49.69307692,1.478076923,219,7,31,20,1022,sole
2020-02-07,161.2728522,168.975945,-32.62542955,20.56013746,23.44364261,17.14707904,1025.745361,216.6810997,36.03780069,525.3539519,639.9587629,12.70790378,11.70790378,51.06907216,1.514089347,219,6,44,8,1026,sole
2020-02-08,104.4875862,168.137931,-32.5137931,22.52068966,22.17551724,22.2862069,1027.189655,209.35,75.61034483,500.7793103,899.7931034,20.63448276,19.49310345,50.56413793,1.385862069,219,7,57,6,1028,sole
2020-02-09,71.76896552,167.7310345,-32.33103448,22.52758621,22.01551724,29.81034483,1030.160345,197.1917241,84.05172414,490.6724138,955.2551724,18.26206897,17.07931034,47.22068966,1.394827586,219,10,69,11,1031,pioggia 
2020-02-10,117.752069,168.3137931,-32.67586207,20.52413793,24.12034483,40.78517241,1023.524483,191.0234483,86.43793103,561.6965517,970.9896552,13.02068966,12.02068966,50.07793103,1.494482759,219,12,83,12,1025,pioggia 
2020-02-11,126.3903448,176.0655172,-32.82068966,21.93448276,25.41965517,41.18344828,1014.667241,205.0662069,35.65862069,534.6068966,637.0931034,15.1862069,14.1862069,49.85310345,1.526551724,219,14,78,10,1016,sole
2020-02-12,117.9363322,175.3010381,-32.816609,21.94463668,25.64844291,34.86643599,1017.282007,206.9633218,18.69204152,567.8235294,526.16609,16.68512111,15.66782007,49.60415225,1.524567474,219,12,64,8,1018,sole
2020-02-13,99.68413793,173.537931,-32.81724138,22.85862069,25.00724138,32.30482759,1020.36,204.3955172,24.30344828,548.7931034,562.4586207,14.4137931,13.41034483,50.40551724,1.497586207,219,10,71,10,1021,sole
2020-02-14,73.6,176.8493151,-33.06849315,22.88013699,25.18767123,32.71506849,1016.475,208.5486301,32.09246575,495.2808219,614.1780822,11.03424658,10.03424658,49.60993151,1.492808219,219,14,61,17,1017,pioggia 
2020-02-15,103.2024055,174.8900344,-32.30927835,23.30927835,25.00824742,24.35429553,1024.313058,201.4835052,39.21649485,431.7182131,660.5051546,11.54982818,10.54982818,48.00412371,1.372852234,219,10,56,8,1025,sole
2020-02-16,109.6800687,171.8728522,-31.90721649,22.8556701,23.70927835,31.51477663,1027.834364,196.4907216,50.43642612,467.7628866,734.2783505,15.27835052,14.26460481,46.87525773,1.332302405,219,10,69,6,1029,sole
2020-02-17,118.0292096,172.0034364,-32.68728522,22.96219931,24.42783505,32.2628866,1026.71512,207.9426117,40.27491409,522.5051546,667.8213058,16.87972509,15.8556701,50.05670103,1.512714777,219,10,67,6,1028,sole
2020-02-18,119.5287671,173.4349315,-31.98287671,24.10958904,25.18116438,33.42226027,1022.960616,204.2270548,55.84246575,532.7328767,769.8493151,14.71917808,13.66780822,50.57260274,1.543150685,219,11,82,7,1024,sole
2020-02-19,122.7487973,173.7491409,-32.42611684,23.48797251,25.57594502,35.26323024,1019.479038,199.3845361,44.59106529,508.8213058,696.0309278,15.40893471,14.3814433,49.7838488,1.551202749,219,10,90,6,1020,pioggia nebbia 
2020-02-20,149.0958478,174.5467128,-31.816609,23.03114187,24.94048443,25.93875433,1021.061592,211.9854671,17.9550173,502.7508651,521.1764706,12.42560554,11.42560554,50.37024221,1.548096886,219,10,66,9,1022,sole
2020-02-21,127.2890411,170.4349315,-31.08561644,23.1130137,24.83219178,25.33561644,1023.081849,208.3321918,36.42808219,497.0856164,642.5513699,13.97945205,12.97945205,50.69965753,1.551712329,219,9,61,6,1024,sole
2020-02-22,80.97147766,172.9690722,-29.85910653,25.12371134,24.4443299,30.96975945,1028.706873,202.1965636,43.3161512,460.5292096,687.4879725,14.57731959,13.57731959,47.31477663,1.479381443,219,10,75,7,1029,sole
2020-02-23,133.7151724,174.0517241,-30.00344828,24.96206897,24.57482759,34.02551724,1028.293103,194.5548276,34.77931034,448.4275862,631.8344828,15.1137931,14.11034483,46.73586207,1.453448276,219,11,83,7,1029,nebbia 
2020-02-24,130.0553633,170.5605536,-31.10380623,23.96885813,25.283391,36.51245675,1021.097232,209.432872,50.1384083,473.9480969,732.7231834,12.67474048,11.67474048,49.35259516,1.570588235,219,13,78,10,1022,sole
2020-02-25,110.2917241,172.9655172,-31.34482759,23.22413793,25.4837931,36.8062069,1013.693793,204.8972414,39.92413793,452.0137931,665.0827586,11.50344828,10.50344828,49.61275862,1.563448276,219,13,76,16,1015,sole
2020-02-26,102.5034364,175.5876289,-31.19931271,23.604811,24.12199313,33.16975945,1003.750859,206.7264605,32.40893471,424.8419244,615.9896907,10.93814433,9.93814433,49.85463918,1.525085911,219,12,69,17,1005,pioggia 
2020-02-27,145.0268041,172.395189,-31.93814433,24.97594502,22.85463918,26.18694158,1011.064261,205.2608247,98.97938144,470.2920962,1052.955326,10.1443299,9.144329897,49.69415808,1.441580756,219,8,61,11,1012,pioggia 
2020-02-28,148.0765517,174.5724138,-33.16896552,22.4,24.88241379,26.35931034,1012.187241,210.2703448,139.9034483,473.4206897,1321.582759,11.01724138,10.01724138,49.82931034,1.435172414,219,13,51,16,1013,pioggia 
2020-02-29,89.78206897,176.2103448,-36.10344828,19.42413793,24.94931034,23.7662069,1017.021379,205.477931,140.2758621,429.5724138,1324.02069,10.67241379,9.672413793,46.40344828,1.217241379,219,11,55,15,1018,sole
2020-03-01,67.94793103,171.8551724,-35.84482759,19.46551724,23.73551724,40.3737931,1009.103103,182.2686207,133.7827586,421.2931034,1281.410345,12.77241379,11.77241379,45.74413793,1.131724138,219,14,78,24,1010,pioggia 
2020-03-02,176.9644828,169.1448276,-37.21724138,18.58965517,23.38448276,44.45310345,1004.175172,194.9355172,135.9793103,470.4034483,1295.993103,12.47586207,11.47586207,49.05586207,1.35137931,219,13,82,25,1005,pioggia 
2020-03-03,124.2072165,170.8556701,-37.5395189,18.24054983,21.52061856,37.26357388,1001.362887,204.4962199,60.39862543,446.7216495,799.8281787,12.39862543,11.39862543,49.3443299,1.392783505,219,11,70,17,1002,pioggia 
2020-03-04,115.027931,171.3689655,-37.45517241,18.54137931,24.9562069,29.26172414,1007.423793,206.6713793,125.6862069,505.762069,1227.189655,11.05172414,10.05172414,49.63517241,1.455517241,219,9,70,10,1008,pioggia 
2020-03-05,95.60992908,168.9503546,-37.4964539,18.53546099,24.7070922,26.6322695,1009.348582,203.1010638,115.0638298,462.4255319,1158.347518,10.11347518,9.113475177,48.6858156,1.477304965,219,10,66,14,1010,sole
