date,iaq,electrosmog_lf,wifi_level,wifi_n,temperature,humidity,air_pressure,ambient_light,tvoc,co2,co2e,pm10,pm25,sound,electrosmog_hf,device_id,ext_temperature,ext_humidity,ext_wind,ext_pressure,ext_weather,pm10_ext,pm25_ext
2020-01-01,126.475,162.375,-61.79166667,14.3125,20.25833333,32.59791667,1028.70625,125.8770833,95.14583333,0,1027.979167,10.9375,9.9375,43.37291667,0.4,358,5,56,6,1029,sole,89,50
2020-01-02,170.24375,162,-59.9375,12.41666667,20.33541667,36.09375,1029.695833,66.25833333,169.625,0,1516.354167,9.333333333,8.333333333,42.36875,0.4,358,7,65,7,1030,sole,76,34
2020-01-03,97.96041667,161.5,-60,13.04166667,20.34791667,37.625,1027.76875,15.32083333,102.1875,0,1073.9375,8.604166667,7.604166667,43.15416667,0.402083333,358,7,75,7,1028,sole,59,34
2020-01-04,144.5693878,159.0816327,-60.18367347,9.714285714,19.3877551,41.57959184,1023.487755,1.873469388,114.4489796,0,1154.244898,7.224489796,6.224489796,41.34285714,0.4,358,8,79,6,1023,sole,61,32
2020-01-05,64.0875,155.2916667,-61.875,8.375,18.57291667,40.95416667,1024.666667,1.5125,59.02083333,0,789.8541667,6.25,5.25,40.55625,0.4,358,8,63,12,1024,sole,36,21
2020-01-06,82.19375,159.25,-60.875,10.04166667,19.05833333,31.64166667,1026.645833,1.41875,23.75,0,558.4166667,2.583333333,1.583333333,41.40625,0.4,358,5,50,11,1027,sole,15,7
2020-01-07,235.1977778,165.8888889,-61.02222222,11.48888889,20.63777778,30.94666667,1025.011111,46.25333333,134.4444444,0,1285.8,5.533333333,4.533333333,44.42666667,0.431111111,358,4,60,6,1025,sole,46,24
2020-01-08,115.0571429,159.047619,-60.19047619,10.42857143,19.91904762,35.3952381,1026.409524,35.66666667,347.2857143,0,2682.857143,11.71428571,10.57142857,44.17619048,0.4,358,6,62,8,1027,sole,65,38
2020-01-09,133.0425532,163.6382979,-58.44680851,8.85106383,21.50851064,35.20212766,1028.17234,48.02765957,124.3829787,0,1219.659574,9.978723404,8.978723404,43.98510638,0.442553191,358,6,68,6,1028,sole,68,39
2020-01-10,89.15,162.2291667,-61.58333333,8.541666667,20.9375,36.42291667,1025.4,49.86041667,45.1875,0,700.0833333,9.479166667,8.479166667,45.16875,0.416666667,358,7,74,7,1025,sole,64,35
2020-01-11,72.95918367,152.5918367,-62.2244898,7.979591837,19.18163265,39.8877551,1024.557143,1.379591837,66.7755102,0,841.7142857,6.571428571,5.571428571,39.96122449,0.4,358,7,76,7,1024,sole,70,39
2020-01-12,91.5625,154.625,-62.39583333,6.833333333,17.97291667,41.39375,1025.197917,1.41875,29.25,0,594.6458333,6.666666667,5.666666667,39.87291667,0.4,358,7,70,8,1025,sole,55,29
