,LOCALITA,DATA,TMEDIA °C,UMIDITA %,PRESSIONESLM mb,PRESSIONEMEDIA mb
0,Roma,1/1/2020,5.0,56.0,1029.0,0.0
1,Roma,2/1/2020,7.0,65.0,1030.0,0.0
2,Roma,3/1/2020,7.0,75.0,1028.0,0.0
3,Roma,4/1/2020,8.0,79.0,1023.0,0.0
4,Roma,5/1/2020,8.0,63.0,1024.0,0.0
5,Roma,6/1/2020,5.0,50.0,1027.0,0.0
6,Roma,7/1/2020,4.0,60.0,1025.0,0.0
7,Roma,8/1/2020,6.0,62.0,1027.0,0.0
8,Roma,9/1/2020,6.0,68.0,1028.0,0.0
9,Roma,10/1/2020,7.0,74.0,1025.0,0.0
10,Roma,11/1/2020,7.0,76.0,1024.0,0.0
11,Roma,12/1/2020,7.0,70.0,1025.0,0.0
12,Roma,13/1/2020,6.0,75.0,1025.0,0.0
13,Roma,14/1/2020,8.0,72.0,1026.0,0.0
14,Roma,15/1/2020,6.0,71.0,1028.0,0.0
15,Roma,16/1/2020,6.0,72.0,1029.0,0.0
16,Roma,17/1/2020,7.0,77.0,1026.0,0.0
17,Roma,18/1/2020,9.0,85.0,1021.0,0.0
18,Roma,19/1/2020,9.0,77.0,1022.0,0.0
19,Roma,20/1/2020,10.0,48.0,1032.0,0.0
20,Roma,21/1/2020,10.0,54.0,1036.0,0.0
21,Roma,22/1/2020,8.0,74.0,1033.0,0.0
22,Roma,23/1/2020,8.0,80.0,1028.0,0.0
23,Roma,24/1/2020,10.0,75.0,1026.0,0.0
24,Roma,25/1/2020,12.0,77.0,1022.0,0.0
25,Roma,26/1/2020,9.0,83.0,1020.0,0.0
26,Roma,27/1/2020,9.0,84.0,1020.0,0.0
27,Roma,28/1/2020,12.0,84.0,1016.0,0.0
28,Roma,29/1/2020,11.0,82.0,1014.0,0.0
29,Roma,30/1/2020,9.0,77.0,1020.0,0.0
30,Roma,31/1/2020,12.0,75.0,1021.0,0.0
0,Roma,1/2/2020,12.0,86.0,1021.0,0.0
1,Roma,2/2/2020,13.0,81.0,1022.0,0.0
2,Roma,3/2/2020,13.0,81.0,1019.0,0.0
3,Roma,4/2/2020,12.0,77.0,1011.0,0.0
4,Roma,5/2/2020,8.0,43.0,1014.0,0.0
5,Roma,6/2/2020,7.0,31.0,1022.0,0.0
6,Roma,7/2/2020,6.0,44.0,1026.0,0.0
7,Roma,8/2/2020,7.0,57.0,1028.0,0.0
8,Roma,9/2/2020,10.0,69.0,1031.0,0.0
9,Roma,10/2/2020,12.0,83.0,1025.0,0.0
10,Roma,11/2/2020,14.0,78.0,1016.0,0.0
11,Roma,12/2/2020,12.0,64.0,1018.0,0.0
12,Roma,13/2/2020,10.0,71.0,1021.0,0.0
13,Roma,14/2/2020,14.0,61.0,1017.0,0.0
14,Roma,15/2/2020,10.0,56.0,1025.0,0.0
15,Roma,16/2/2020,10.0,69.0,1029.0,0.0
16,Roma,17/2/2020,10.0,67.0,1028.0,0.0
17,Roma,18/2/2020,11.0,82.0,1024.0,0.0
18,Roma,19/2/2020,10.0,90.0,1020.0,0.0
19,Roma,20/2/2020,10.0,66.0,1022.0,0.0
20,Roma,21/2/2020,9.0,61.0,1024.0,0.0
21,Roma,22/2/2020,10.0,75.0,1029.0,0.0
22,Roma,23/2/2020,11.0,83.0,1029.0,0.0
23,Roma,24/2/2020,13.0,78.0,1022.0,0.0
24,Roma,25/2/2020,13.0,76.0,1015.0,0.0
25,Roma,26/2/2020,12.0,69.0,1005.0,0.0
26,Roma,27/2/2020,8.0,61.0,1012.0,0.0
27,Roma,28/2/2020,13.0,51.0,1013.0,0.0
28,Roma,29/2/2020,11.0,55.0,1018.0,0.0
0,Roma,1/3/2020,14.0,78.0,1010.0,0.0
1,Roma,2/3/2020,13.0,82.0,1005.0,0.0
2,Roma,3/3/2020,11.0,70.0,1002.0,0.0
3,Roma,4/3/2020,9.0,70.0,1008.0,0.0
4,Roma,5/3/2020,10.0,66.0,1010.0,0.0
5,Roma,6/3/2020,12.0,77.0,1003.0,0.0
6,Roma,7/3/2020,11.0,72.0,1007.0,0.0
7,Roma,8/3/2020,10.0,57.0,1016.0,0.0
8,Roma,9/3/2020,9.0,64.0,1013.0,0.0
9,Roma,10/3/2020,11.0,62.0,1016.0,0.0
10,Roma,11/3/2020,14.0,62.0,1022.0,0.0
11,Roma,12/3/2020,14.0,69.0,1022.0,0.0
12,Roma,13/3/2020,13.0,84.0,1017.0,0.0
13,Roma,14/3/2020,13.0,83.0,1015.0,0.0
14,Roma,15/3/2020,14.0,66.0,1019.0,0.0
15,Roma,16/3/2020,13.0,55.0,1025.0,0.0
16,Roma,17/3/2020,13.0,68.0,1029.0,0.0
17,Roma,18/3/2020,14.0,63.0,1024.0,0.0
18,Roma,19/3/2020,15.0,56.0,1024.0,0.0
19,Roma,20/3/2020,14.0,57.0,1021.0,0.0
20,Roma,21/3/2020,14.0,55.0,1014.0,0.0
21,Roma,22/3/2020,15.0,58.0,1013.0,0.0
22,Roma,23/3/2020,9.0,35.0,1018.0,0.0
23,Roma,24/3/2020,6.0,47.0,1018.0,0.0
24,Roma,25/3/2020,8.0,46.0,1010.0,0.0
25,Roma,26/3/2020,9.0,82.0,1001.0,0.0
26,Roma,27/3/2020,12.0,79.0,1008.0,0.0
27,Roma,28/3/2020,12.0,77.0,1013.0,0.0
28,Roma,29/3/2020,14.0,72.0,1013.0,0.0
29,Roma,30/3/2020,14.0,71.0,1012.0,0.0
30,Roma,31/3/2020,11.0,68.0,1014.0,0.0
0,Roma,1/4/2020,8.0,41.0,1015.0,0.0
1,Roma,2/4/2020,10.0,52.0,1013.0,0.0
2,Roma,3/4/2020,12.0,55.0,1011.0,0.0
3,Roma,4/4/2020,13.0,48.0,1014.0,0.0
4,Roma,5/4/2020,14.0,38.0,1017.0,0.0
5,Roma,6/4/2020,15.0,45.0,1022.0,0.0
6,Roma,7/4/2020,16.0,50.0,1026.0,0.0
7,Roma,8/4/2020,16.0,53.0,1024.0,0.0
8,Roma,9/4/2020,16.0,61.0,1021.0,0.0
9,Roma,10/4/2020,17.0,54.0,1022.0,0.0
10,Roma,11/4/2020,16.0,56.0,1021.0,0.0
11,Roma,12/4/2020,17.0,65.0,1021.0,0.0
12,Roma,13/4/2020,17.0,62.0,1016.0,0.0
13,Roma,14/4/2020,13.0,79.0,1012.0,0.0
14,Roma,15/4/2020,12.0,57.0,1020.0,0.0
15,Roma,16/4/2020,15.0,60.0,1022.0,0.0
16,Roma,17/4/2020,17.0,66.0,1020.0,0.0
17,Roma,18/4/2020,16.0,85.0,1018.0,0.0
18,Roma,19/4/2020,17.0,80.0,1014.0,0.0
19,Roma,20/4/2020,17.0,85.0,1006.0,0.0
20,Roma,21/4/2020,17.0,81.0,1005.0,0.0
21,Roma,22/4/2020,14.0,94.0,1010.0,0.0
22,Roma,23/4/2020,16.0,80.0,1015.0,0.0
23,Roma,24/4/2020,17.0,70.0,1015.0,0.0
24,Roma,25/4/2020,17.0,68.0,1012.0,0.0
25,Roma,26/4/2020,17.0,57.0,1011.0,0.0
26,Roma,27/4/2020,16.0,72.0,1014.0,0.0
27,Roma,28/4/2020,17.0,76.0,1013.0,0.0
28,Roma,29/4/2020,17.0,77.0,1012.0,0.0
29,Roma,30/4/2020,18.0,61.0,1014.0,0.0
0,Roma,1/5/2020,19.0,62.0,1012.0,0.0
1,Roma,2/5/2020,19.0,66.0,1010.0,0.0
2,Roma,3/5/2020,21.0,59.0,1012.0,0.0
3,Roma,4/5/2020,19.0,46.0,1018.0,0.0
4,Roma,5/5/2020,20.0,46.0,1017.0,0.0
5,Roma,6/5/2020,21.0,60.0,1012.0,0.0
6,Roma,7/5/2020,19.0,49.0,1018.0,0.0
7,Roma,8/5/2020,20.0,48.0,1021.0,0.0
8,Roma,9/5/2020,20.0,47.0,1017.0,0.0
9,Roma,10/5/2020,21.0,44.0,1012.0,0.0
10,Roma,11/5/2020,19.0,62.0,1009.0,0.0
11,Roma,12/5/2020,20.0,62.0,1013.0,0.0
12,Roma,13/5/2020,23.0,49.0,1010.0,0.0
13,Roma,14/5/2020,24.0,47.0,1007.0,0.0
14,Roma,15/5/2020,21.0,56.0,1014.0,0.0
15,Roma,16/5/2020,25.0,43.0,1014.0,0.0
16,Roma,17/5/2020,25.0,53.0,1015.0,0.0
17,Roma,18/5/2020,25.0,50.0,1012.0,0.0
18,Roma,19/5/2020,21.0,64.0,1011.0,0.0
19,Roma,20/5/2020,19.0,72.0,1008.0,0.0
20,Roma,21/5/2020,23.0,42.0,1014.0,0.0
21,Roma,22/5/2020,23.0,41.0,1023.0,0.0
22,Roma,23/5/2020,24.0,44.0,1025.0,0.0
23,Roma,24/5/2020,22.0,52.0,1023.0,0.0
24,Roma,25/5/2020,22.0,59.0,1023.0,0.0
25,Roma,26/5/2020,21.0,45.0,1023.0,0.0
26,Roma,27/5/2020,19.0,38.0,1025.0,0.0
27,Roma,28/5/2020,19.0,48.0,1023.0,0.0
28,Roma,29/5/2020,17.0,74.0,1018.0,0.0
29,Roma,30/5/2020,16.0,72.0,1015.0,0.0
30,Roma,31/5/2020,18.0,61.0,1015.0,0.0
0,Roma,1/6/2020,20.0,59.0,1015.0,0.0
1,Roma,2/6/2020,20.0,59.0,1014.0,0.0
2,Roma,3/6/2020,21.0,62.0,1011.0,0.0
3,Roma,4/6/2020,21.0,62.0,1006.0,0.0
